

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
    4800      4.66150505E-04      4.66455217E-04  i
    4900      4.35216802E-04      4.35501121E-04  i
    5000      4.06351957E-04      4.06617273E-04  i
    5100      3.79415236E-04      3.79662839E-04  i
    5200      3.54275811E-04      3.54506902E-04  i
    5300      3.30812016E-04      3.31027713E-04  i
    5400      3.08910669E-04      3.09112009E-04  i
    5500      2.88466437E-04      2.88654387E-04  i
    5600      2.69381274E-04      2.69556734E-04  i
    5700      2.51563887E-04      2.51727696E-04  i
    5800      2.34929250E-04      2.35082188E-04  i
    5900      2.19398153E-04      2.19540948E-04  i
    6000      2.04896792E-04      2.05030123E-04  i
    6100      1.91356387E-04      1.91480884E-04  i
    6200      1.78712822E-04      1.78829076E-04  i
    6300      1.66906328E-04      1.67014886E-04  i
    6400      1.55881171E-04      1.55982547E-04  i
    6500      1.45585370E-04      1.45680040E-04  i
    6600      1.35970450E-04      1.36058861E-04  i
    6700      1.26991193E-04      1.27073759E-04  i
    6800      1.18605411E-04      1.18682521E-04  i
    6900      1.10773741E-04      1.10845757E-04  i
    7000      1.03459456E-04      1.03526714E-04  i
    7100      9.66282808E-05      9.66910972E-05  i
    7200      9.02482262E-05      9.03068945E-05  i
    7300      8.42894368E-05      8.43442315E-05  i
    7400      7.87240445E-05      7.87752220E-05  i
    7500      7.35260361E-05      7.35738354E-05  i
    7600      6.86711226E-05      6.87157668E-05  i
    7700      6.41366323E-05      6.41783303E-05  i
    7800      5.99014017E-05      5.99403479E-05  i
    7900      5.59456569E-05      5.59820330E-05  i
    8000      5.22509471E-05      5.22849228E-05  i
    8100      4.88000413E-05      4.88317753E-05  i
    8200      4.55768442E-05      4.56064841E-05  i
    8300      4.25663306E-05      4.25940147E-05  i
    8400      3.97544675E-05      3.97803250E-05  i
    8500      3.71281463E-05      3.71522973E-05  i
    8600      3.46751291E-05      3.46976865E-05  i
    8700      3.23839850E-05      3.24050539E-05  i
    8800      3.02440361E-05      3.02637146E-05  i
    8900      2.82453148E-05      2.82636946E-05  i
    9000      2.63785006E-05      2.63956673E-05  i
    9100      2.46348987E-05      2.46509324E-05  i
    9200      2.30063836E-05      2.30213588E-05  i
    9300      2.14853667E-05      2.14993536E-05  i
    9400      2.00647588E-05      2.00778223E-05  i
    9500      1.87379373E-05      1.87501382E-05  i
    9600      1.74987198E-05      1.75101152E-05  i
    9700      1.63413259E-05      1.63519686E-05  i
    9800      1.52603636E-05      1.52703036E-05  i
    9900      1.42507892E-05      1.42600726E-05  i
   10000      1.33078955E-05      1.33165659E-05  i
   10250      1.12142364E-05      1.12215449E-05  i
   10500      9.44946131E-06      9.45562171E-06  i
   10750      7.96197441E-06      7.96716668E-06  i
   11000      6.70827290E-06      6.71264897E-06  i
   11250      5.65167039E-06      5.65535841E-06  i
   11500      4.76122302E-06      4.76433090E-06  i
   11750      4.01084894E-06      4.01346798E-06  i
   12000      3.37854583E-06      3.38075273E-06  i
   12250      2.84576308E-06      2.84762245E-06  i
   12500      2.39686636E-06      2.39843296E-06  i
   12750      2.01866780E-06      2.01998778E-06  i
   13000      1.70004480E-06      1.70115669E-06  i
   13250      1.43163881E-06      1.43257543E-06  i
   13500      1.20554338E-06      1.20633237E-06  i
   13750      1.01509969E-06      1.01576426E-06  i
   14000      8.54687898E-07      8.55247588E-07  i
   14250      7.19591799E-07      7.20063139E-07  i
   14500      6.05817038E-07      6.06213978E-07  i
   14750      5.10004409E-07      5.10338668E-07  i
   15000      4.29322483E-07      4.29603990E-07  i
   15250      3.61376454E-07      3.61613479E-07  i
   15500      3.04173812E-07      3.04373434E-07  i
   15750      2.56012141E-07      2.56180115E-07  i
   16000      2.15464695E-07      2.15606193E-07  i
   16250      1.81329549E-07      1.81448688E-07  i
   16500      1.52594167E-07      1.52694412E-07  i
   16750      1.28393228E-07      1.28477623E-07  i
   17000      1.08032404E-07      1.08103349E-07  i
   17250      9.08948096E-08      9.09546126E-08  i
   17500      7.64708955E-08      7.65210783E-08  i
   17750      6.43317241E-08      6.43741568E-08  i
   18000      5.41153426E-08      5.41510235E-08  i
   18250      4.55005644E-08      4.55305315E-08  i
   18500      3.82654097E-08      3.82905628E-08  i
   18750      3.21774582E-08      3.21985911E-08  i
   19000      2.70543779E-08      2.70722561E-08  i
   19250      2.27439188E-08      2.27589619E-08  i
   19500      1.91168690E-08      1.91295767E-08  i
   19750      1.60655157E-08      1.60760616E-08  i
   20000      1.34981522E-08      1.35069793E-08  i
   20250      1.13107069E-08      1.13182651E-08  i
   20500      9.49261636E-09      9.49876826E-09  i
   20750      7.96259030E-09      7.96807114E-09  i
   21000      6.67550614E-09      6.68009618E-09  i
   21250      5.59246578E-09      5.59626686E-09  i
   21500      4.68034073E-09      4.68355515E-09  i
   21750      3.91294479E-09      3.91555581E-09  i
   22000      3.26642861E-09      3.26864619E-09  i
   22250      2.72197792E-09      2.72380835E-09  i
   22500      2.21654531E-09      2.21805765E-09  i
   22750      1.82655627E-09      1.82794584E-09  i
   23000      1.49766841E-09      1.49878383E-09  i
   23250      1.21751305E-09      1.21849314E-09  i
   23500      9.78605913E-10      9.79502295E-10  i


  *** Scattering amplitudes and differential cross section ***

    Angle      DCS       Asymmetry    Direct amplitude       Spin-flip amplitude     error
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 1.18470E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 1.18468E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 9.036E-14, 3.851E-16)  1.00E-07
  1.250E-04 1.18467E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 1.130E-13, 4.814E-16)  1.00E-07
  1.500E-04 1.18465E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 1.355E-13, 5.777E-16)  1.00E-07
  1.750E-04 1.18463E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 1.581E-13, 6.740E-16)  1.00E-07
  2.000E-04 1.18461E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 1.807E-13, 7.702E-16)  1.00E-07
  2.250E-04 1.18459E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 2.033E-13, 8.665E-16)  1.00E-07
  2.500E-04 1.18457E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 2.259E-13, 9.628E-16)  1.00E-07
  2.750E-04 1.18454E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 2.485E-13, 1.059E-15)  1.00E-07
  3.000E-04 1.18451E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 2.711E-13, 1.155E-15)  1.00E-07
  3.250E-04 1.18447E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 2.937E-13, 1.252E-15)  1.00E-07
  3.500E-04 1.18444E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 3.162E-13, 1.348E-15)  1.00E-07
  3.750E-04 1.18440E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 3.388E-13, 1.444E-15)  1.00E-07
  4.000E-04 1.18436E-14  0.000E+00 ( 1.088E-07, 4.639E-10) ( 3.614E-13, 1.540E-15)  1.00E-07
  4.250E-04 1.18431E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 3.840E-13, 1.637E-15)  1.00E-07
  4.500E-04 1.18427E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 4.066E-13, 1.733E-15)  1.00E-07
  4.750E-04 1.18422E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 4.291E-13, 1.829E-15)  1.00E-07
  5.000E-04 1.18416E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 4.517E-13, 1.926E-15)  1.00E-07
  5.250E-04 1.18411E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 4.743E-13, 2.022E-15)  1.00E-07
  5.500E-04 1.18405E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 4.969E-13, 2.118E-15)  1.00E-07
  5.750E-04 1.18399E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 5.194E-13, 2.214E-15)  1.00E-07
  6.000E-04 1.18393E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 5.420E-13, 2.311E-15)  1.00E-07
  6.250E-04 1.18386E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 5.646E-13, 2.407E-15)  1.00E-07
  6.500E-04 1.18379E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 5.871E-13, 2.503E-15)  1.00E-07
  6.750E-04 1.18372E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 6.097E-13, 2.599E-15)  1.00E-07
  7.000E-04 1.18365E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 6.323E-13, 2.696E-15)  1.00E-07
  7.250E-04 1.18357E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 6.548E-13, 2.792E-15)  1.00E-07
  7.500E-04 1.18349E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 6.774E-13, 2.888E-15)  1.00E-07
  7.750E-04 1.18341E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 6.999E-13, 2.984E-15)  1.00E-07
  8.000E-04 1.18333E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 7.225E-13, 3.081E-15)  1.00E-07
  8.250E-04 1.18324E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 7.451E-13, 3.177E-15)  1.00E-07
  8.500E-04 1.18315E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 7.676E-13, 3.273E-15)  1.00E-07
  8.750E-04 1.18306E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 7.901E-13, 3.369E-15)  1.00E-07
