

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
     370      2.07927825E-03  5.20942E-05      2.08653012E-03  5.21719E-05  i
     380      1.97287728E-03  5.09278E-05      1.97973880E-03  5.10045E-05  i
     390      1.87218572E-03  4.97780E-05      1.87868006E-03  4.98539E-05  i
     400      1.77686694E-03  4.86326E-05      1.78301562E-03  4.87081E-05  i
     410      1.68660767E-03  4.75002E-05      1.69243075E-03  4.75747E-05  i
     420      1.60111601E-03  4.63830E-05      1.60663218E-03  4.64564E-05  i
     430      1.52011959E-03  4.52811E-05      1.52534631E-03  4.53535E-05  i
     440      1.44336395E-03  4.41951E-05      1.44831754E-03  4.42665E-05  i
     450      1.37061110E-03  4.31245E-05      1.37530682E-03  4.31948E-05  i
     460      1.30163820E-03  4.20740E-05      1.30609036E-03  4.21430E-05  i
     470      1.23623641E-03  4.10328E-05      1.24045842E-03  4.11015E-05  i
     480      1.17420982E-03  4.00019E-05      1.17821426E-03  4.00696E-05  i
     490      1.11537448E-03  3.89880E-05      1.11917318E-03  3.90546E-05  i
     500      1.05955756E-03  3.79901E-05      1.06316163E-03  3.80557E-05  i
     510      1.00659653E-03  3.70089E-05      1.01001642E-03  3.70734E-05  i
     520      9.56338467E-04  3.60455E-05      9.59584011E-04  3.61087E-05  i
     530      9.08639360E-04  3.50951E-05      9.11719829E-04  3.51578E-05  i
     540      8.63363543E-04  3.41554E-05      8.66287670E-04  3.42171E-05  i
     550      8.20383119E-04  3.32323E-05      8.23159138E-04  3.32929E-05  i
     560      7.79577459E-04  3.23260E-05      7.82213139E-04  3.23854E-05  i
     570      7.40832729E-04  3.14368E-05      7.43335402E-04  3.14953E-05  i
     580      7.04041462E-04  3.05586E-05      7.06418052E-04  3.06164E-05  i
     590      6.69102155E-04  2.96933E-05      6.71359202E-04  2.97501E-05  i
     600      6.35918900E-04  2.88462E-05      6.38062586E-04  2.89017E-05  i
     620      5.74462861E-04  2.71928E-05      5.76397039E-04  2.72467E-05  i
     640      5.19005560E-04  2.55972E-05      5.20751163E-04  2.56493E-05  i
     660      4.68949191E-04  2.40547E-05      4.70524966E-04  2.41047E-05  i
     680      4.23757965E-04  2.25654E-05      4.25180725E-04  2.26137E-05  i
     700      3.82951207E-04  2.11381E-05      3.84236042E-04  2.11845E-05  i
     720      3.46097288E-04  1.97586E-05      3.47257753E-04  1.98033E-05  i
     740      3.12808322E-04  1.84394E-05      3.13856604E-04  1.84822E-05  i
     760      2.82735485E-04  1.71735E-05      2.83682547E-04  1.72145E-05  i
     780      2.55564885E-04  1.59623E-05      2.56420594E-04  1.60016E-05  i
     800      2.31013907E-04  1.47989E-05      2.31787149E-04  1.48365E-05  i
     820      2.08827975E-04  1.36888E-05      2.09526758E-04  1.37248E-05  i
     840      1.88777664E-04  1.26286E-05      1.89409205E-04  1.26629E-05  i
     860      1.70656137E-04  1.16160E-05      1.71226943E-04  1.16488E-05  i
     880      1.54276855E-04  1.06497E-05      1.54792797E-04  1.06809E-05  i
     900      1.39471534E-04  9.73334E-06      1.39937908E-04  9.76292E-06  i
     920      1.26088315E-04  8.86352E-06      1.26509901E-04  8.89154E-06  i
     940      1.13990128E-04  8.03987E-06      1.14371240E-04  8.06642E-06  i
     960      1.03053222E-04  7.26416E-06      1.03397756E-04  7.28903E-06  i
     980      9.31658509E-05  6.52675E-06      9.34773269E-05  6.55050E-06  i
    1000      8.42270915E-05  5.87384E-06      8.45086868E-05  5.89333E-06  i
    1020      7.61457788E-05  5.32307E-06      7.64003643E-05  5.33928E-06  i
    1040      6.88395528E-05  4.99511E-06      6.90697221E-05  5.00269E-06  i
    1060      6.22339974E-05  4.61382E-06      6.24420944E-05  4.63177E-06  i
    1080      5.62618685E-05  4.08017E-06      5.64500111E-05  4.09580E-06  i
    1100      5.08623953E-05  3.64810E-06      5.10324976E-05  3.66172E-06  i
    1120      4.59806529E-05  3.25895E-06      4.61344450E-05  3.27101E-06  i
    1140      4.15669963E-05  2.91827E-06      4.17060420E-05  2.92889E-06  i
    1160      3.75765497E-05  2.61614E-06      3.77022626E-05  2.62557E-06  i
    1180      3.39687458E-05  2.34813E-06      3.40824038E-05  2.35650E-06  i
    1200      3.07069103E-05  2.10966E-06      3.08096688E-05  2.11712E-06  i
    1250      2.38560963E-05  1.61985E-06      2.39359594E-05  1.62548E-06  i
    1300      1.85318639E-05  1.24859E-06      1.85939287E-05  1.25287E-06  i
    1350      1.43943543E-05  9.65103E-07      1.44425834E-05  9.68384E-07  i
    1400      1.11793449E-05  7.47492E-07      1.12168190E-05  7.50016E-07  i
    1450      8.68140508E-06  5.79800E-07      8.71051936E-06  5.81748E-07  i
    1500      6.74080871E-06  4.50206E-07      6.76342563E-06  4.51714E-07  i
    1550      5.23337258E-06  3.49846E-07      5.25094008E-06  3.51014E-07  i
    1600      4.06254938E-06  2.72004E-07      4.07619323E-06  2.72911E-07  i
    1650      3.15328351E-06  2.11559E-07      3.16387875E-06  2.12264E-07  i
    1700      2.44723039E-06  1.64586E-07      2.45545711E-06  1.65134E-07  i
    1750      1.89904139E-06  1.28061E-07      1.90542833E-06  1.28487E-07  i
    1800      1.47347390E-06  9.96485E-08      1.47843188E-06  9.99798E-08  i
    1850      1.14313962E-06  7.75422E-08      1.14698784E-06  7.78001E-08  i
    1900      8.86759238E-07  6.03406E-08      8.89745755E-07  6.05412E-08  i
    1950      6.87800567E-07  4.69560E-08      6.90118031E-07  4.71121E-08  i
    2000      5.33421129E-07  3.65470E-08      5.35219276E-07  3.66684E-08  i
    2050      4.13647185E-07  2.84418E-08      4.15042139E-07  2.85364E-08  i
    2100      3.20732368E-07  2.21279E-08      3.21814510E-07  2.22016E-08  i
    2150      2.48661842E-07  1.72111E-08      2.49501141E-07  1.72685E-08  i
    2200      1.92765918E-07  1.33833E-08      1.93416805E-07  1.34279E-08  i
    2250      1.49419311E-07  1.04041E-08      1.49924043E-07  1.04388E-08  i
    2300      1.15808191E-07  8.08593E-09      1.16199592E-07  8.11297E-09  i
    2350      8.97490541E-08  6.28263E-09      9.00525089E-08  6.30366E-09  i
    2400      6.95469698E-08  4.88016E-09      6.97821603E-08  4.89651E-09  i
    2450      5.38870935E-08  3.78965E-09      5.40694314E-08  3.80236E-09  i
    2500      4.17495304E-08  2.94190E-09      4.18908225E-08  2.95178E-09  i
    2550      3.23428918E-08  2.28299E-09      3.24524119E-08  2.29067E-09  i
    2600      2.50540477E-08  1.77095E-09      2.51388522E-08  1.77692E-09  i
    2650      1.94057318E-08  1.37311E-09      1.94714680E-08  1.37775E-09  i
    2700      1.50295779E-08  1.06404E-09      1.50805242E-08  1.06765E-09  i
    2750      1.16392717E-08  8.23965E-10      1.16787898E-08  8.26763E-10  i
    2800      9.01287344E-09  6.37492E-10      9.04342994E-09  6.39665E-10  i
    2850      6.97862281E-09  4.92656E-10      7.00229435E-09  4.94345E-10  i
    2900      5.40309827E-09  3.80156E-10      5.42146656E-09  3.81467E-10  i
    2950      4.18309439E-09  2.92756E-10      4.19728537E-09  2.93774E-10  i
    3000      3.23821018E-09  2.24831E-10      3.24921175E-09  2.25623E-10  i
    3100      1.94005150E-09  1.30880E-10      1.94668382E-09  1.31360E-10  i
    3200      1.16228855E-09  7.36701E-11      1.16621899E-09  7.39646E-11  i
    3300      6.95990507E-10  3.80128E-11      6.98384963E-10  3.82049E-11  i


  *** Scattering amplitudes and differential cross section ***

