 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 3.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.6661974E-15  9.6675049E-16
 # 1st transport cs: 5.6411171E-16  5.1348428E-16
 # 2nd transport cs: 6.2861984E-16  5.0475693E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  6.300000E+00  3.019522E-03  2.313060E-15  8.043360E-16 -2.385115E-05
  6.400000E+00  3.116040E-03  2.303475E-15  8.014800E-16 -2.428273E-05
  6.500000E+00  3.214072E-03  2.293890E-15  7.986265E-16 -2.471620E-05
  6.600000E+00  3.313617E-03  2.284304E-15  7.957755E-16 -2.515159E-05
  6.700000E+00  3.414675E-03  2.274718E-15  7.929271E-16 -2.558890E-05
  6.800000E+00  3.517246E-03  2.265132E-15  7.900815E-16 -2.602814E-05
  6.900000E+00  3.621329E-03  2.255548E-15  7.872390E-16 -2.646931E-05
  7.000000E+00  3.726924E-03  2.245967E-15  7.844002E-16 -2.691242E-05
  7.100000E+00  3.834031E-03  2.236390E-15  7.815653E-16 -2.735748E-05
  7.200000E+00  3.942649E-03  2.226819E-15  7.787349E-16 -2.780447E-05
  7.300000E+00  4.052779E-03  2.217254E-15  7.759091E-16 -2.825340E-05
  7.400000E+00  4.164419E-03  2.207697E-15  7.730881E-16 -2.870429E-05
  7.500000E+00  4.277569E-03  2.198148E-15  7.702721E-16 -2.915713E-05
  7.600000E+00  4.392230E-03  2.188607E-15  7.674608E-16 -2.961194E-05
  7.700000E+00  4.508400E-03  2.179074E-15  7.646543E-16 -3.006872E-05
  7.800000E+00  4.626080E-03  2.169549E-15  7.618523E-16 -3.052751E-05
  7.900000E+00  4.745268E-03  2.160030E-15  7.590544E-16 -3.098832E-05
  8.000000E+00  4.865966E-03  2.150518E-15  7.562605E-16 -3.145116E-05
  8.100000E+00  4.988171E-03  2.141012E-15  7.534702E-16 -3.191607E-05
  8.200000E+00  5.111885E-03  2.131512E-15  7.506835E-16 -3.238305E-05
  8.300000E+00  5.237105E-03  2.122017E-15  7.479001E-16 -3.285213E-05
  8.400000E+00  5.363834E-03  2.112528E-15  7.451200E-16 -3.332332E-05
  8.500000E+00  5.492068E-03  2.103044E-15  7.423432E-16 -3.379664E-05
  8.600000E+00  5.621809E-03  2.093566E-15  7.395699E-16 -3.427209E-05
  8.700000E+00  5.753057E-03  2.084095E-15  7.368002E-16 -3.474970E-05
  8.800000E+00  5.885809E-03  2.074631E-15  7.340343E-16 -3.522946E-05
  8.900000E+00  6.020067E-03  2.065175E-15  7.312723E-16 -3.571138E-05
  9.000000E+00  6.155830E-03  2.055727E-15  7.285145E-16 -3.619548E-05
  9.100000E+00  6.293097E-03  2.046289E-15  7.257609E-16 -3.668176E-05
  9.200000E+00  6.431867E-03  2.036859E-15  7.230116E-16 -3.717023E-05
  9.300000E+00  6.572142E-03  2.027440E-15  7.202668E-16 -3.766090E-05
  9.400000E+00  6.713919E-03  2.018030E-15  7.175262E-16 -3.815379E-05
  9.500000E+00  6.857199E-03  2.008630E-15  7.147900E-16 -3.864891E-05
  9.600000E+00  7.001981E-03  1.999240E-15  7.120579E-16 -3.914627E-05
  9.700000E+00  7.148265E-03  1.989860E-15  7.093300E-16 -3.964591E-05
  9.800000E+00  7.296051E-03  1.980490E-15  7.066060E-16 -4.014782E-05
  9.900000E+00  7.445337E-03  1.971129E-15  7.038858E-16 -4.065204E-05
  1.000000E+01  7.596123E-03  1.961779E-15  7.011695E-16 -4.115858E-05
  1.025000E+01  7.979651E-03  1.938446E-15  6.943952E-16 -4.243519E-05
