 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.00000E+07 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.100E+00  3.35803E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.200E+00  3.68542E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.300E+00  4.02802E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.400E+00  4.38585E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.500E+00  4.75889E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.600E+00  5.14715E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.700E+00  5.55063E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.800E+00  5.96931E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.900E+00  6.40321E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.000E+00  6.85233E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.100E+00  7.31665E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.200E+00  7.79618E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.300E+00  8.29092E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.400E+00  8.80086E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.500E+00  9.32601E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.600E+00  9.86636E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.700E+00  1.04219E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.800E+00  1.09927E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.900E+00  1.15786E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.000E+00  1.21797E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.100E+00  1.27961E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.200E+00  1.34276E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.300E+00  1.40743E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.400E+00  1.47362E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.500E+00  1.54133E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.600E+00  1.61056E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.700E+00  1.68131E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.800E+00  1.75357E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.900E+00  1.82735E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.000E+00  1.90265E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.100E+00  1.97947E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.200E+00  2.05780E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.300E+00  2.13765E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.400E+00  2.21902E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.500E+00  2.30190E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.600E+00  2.38630E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.700E+00  2.47222E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.800E+00  2.55965E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.900E+00  2.64859E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.000E+00  2.73905E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.100E+00  2.83103E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.200E+00  2.92452E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.300E+00  3.01952E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.400E+00  3.11604E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.500E+00  3.21407E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.600E+00  3.31362E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.700E+00  3.41468E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.800E+00  3.51725E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.900E+00  3.62133E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.000E+00  3.72692E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.100E+00  3.83403E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.200E+00  3.94265E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.300E+00  4.05278E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.400E+00  4.16442E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.500E+00  4.27757E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.600E+00  4.39223E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.700E+00  4.50840E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.800E+00  4.62608E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.900E+00  4.74527E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.000E+00  4.86597E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.100E+00  4.98817E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.200E+00  5.11188E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.300E+00  5.23711E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.400E+00  5.36383E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.500E+00  5.49207E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.600E+00  5.62181E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.700E+00  5.75306E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.800E+00  5.88581E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.900E+00  6.02007E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.000E+00  6.15583E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.100E+00  6.29310E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.200E+00  6.43187E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.300E+00  6.57214E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.400E+00  6.71392E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.500E+00  6.85720E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.600E+00  7.00198E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.700E+00  7.14827E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.800E+00  7.29605E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.900E+00  7.44534E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E+01  7.59612E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.025E+01  7.97965E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.050E+01  8.37255E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.075E+01  8.77480E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.100E+01  9.18641E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.125E+01  9.60736E-03  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.150E+01  1.00376E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.175E+01  1.04773E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.200E+01  1.09262E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.225E+01  1.13844E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.250E+01  1.18520E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.275E+01  1.23288E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.300E+01  1.28150E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.325E+01  1.33104E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.350E+01  1.38150E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
