 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  3.300E+01  8.06647E-02  6.33697E-23  2.26297E-06 -3.20488E-04
  3.350E+01  8.30571E-02  6.00854E-23  2.14569E-06 -3.68626E-04
  3.400E+01  8.54812E-02  5.70200E-23  2.03622E-06 -4.18601E-04
  3.450E+01  8.79369E-02  5.41558E-23  1.93394E-06 -4.70083E-04
  3.500E+01  9.04240E-02  5.14768E-23  1.83827E-06 -5.23809E-04
  3.550E+01  9.29422E-02  4.89683E-23  1.74869E-06 -5.79339E-04
  3.600E+01  9.54915E-02  4.66171E-23  1.66473E-06 -6.37604E-04
  3.650E+01  9.80716E-02  4.44111E-23  1.58595E-06 -6.97616E-04
  3.700E+01  1.00682E-01  4.23395E-23  1.51197E-06 -7.59876E-04
  3.750E+01  1.03323E-01  4.03921E-23  1.44243E-06 -8.23601E-04
  3.800E+01  1.05995E-01  3.85600E-23  1.37700E-06 -8.89110E-04
  3.850E+01  1.08696E-01  3.68348E-23  1.31539E-06 -9.56594E-04
  3.900E+01  1.11427E-01  3.52088E-23  1.25733E-06 -1.02626E-03
  3.950E+01  1.14188E-01  3.36750E-23  1.20256E-06 -1.09838E-03
  4.000E+01  1.16978E-01  3.22271E-23  1.15085E-06 -1.17260E-03
  4.050E+01  1.19797E-01  3.08592E-23  1.10200E-06 -1.24875E-03
  4.100E+01  1.22645E-01  2.95659E-23  1.05582E-06 -1.32649E-03
  4.150E+01  1.25522E-01  2.83421E-23  1.01212E-06 -1.40592E-03
  4.200E+01  1.28428E-01  2.71833E-23  9.70735E-07 -1.48733E-03
  4.250E+01  1.31361E-01  2.60853E-23  9.31524E-07 -1.57099E-03
  4.300E+01  1.34323E-01  2.50442E-23  8.94343E-07 -1.65708E-03
  4.350E+01  1.37313E-01  2.40562E-23  8.59064E-07 -1.74532E-03
  4.400E+01  1.40330E-01  2.31182E-23  8.25567E-07 -1.83541E-03
  4.450E+01  1.43375E-01  2.22270E-23  7.93741E-07 -1.92708E-03
  4.500E+01  1.46447E-01  2.13797E-23  7.63484E-07 -2.02039E-03
  4.550E+01  1.49545E-01  2.05737E-23  7.34702E-07 -2.11567E-03
  4.600E+01  1.52671E-01  1.98065E-23  7.07305E-07 -2.21323E-03
  4.650E+01  1.55823E-01  1.90759E-23  6.81212E-07 -2.31319E-03
