 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  7.250E-01  4.00281E-05  6.52964E-17  2.33178E+00  2.33661E+00   9.5E-06
  7.500E-01  4.28362E-05  5.70306E-17  2.03660E+00  2.04076E+00   1.1E-05
  7.750E-01  4.57395E-05  5.00327E-17  1.78670E+00  1.79032E+00   8.6E-06
  8.000E-01  4.87380E-05  4.40751E-17  1.57395E+00  1.57716E+00   3.0E-06
  8.250E-01  5.18317E-05  3.89771E-17  1.39190E+00  1.39483E+00   3.0E-06
  8.500E-01  5.50205E-05  3.45943E-17  1.23539E+00  1.23811E+00   7.0E-06
  8.750E-01  5.83045E-05  3.08104E-17  1.10026E+00  1.10281E+00   7.7E-06
  9.000E-01  6.16838E-05  2.75304E-17  9.83129E-01  9.85515E-01   5.4E-06
  9.250E-01  6.51582E-05  2.46763E-17  8.81207E-01  8.83416E-01   1.3E-06
  9.500E-01  6.87277E-05  2.21835E-17  7.92186E-01  7.94212E-01   2.8E-06
  9.750E-01  7.23925E-05  1.99982E-17  7.14150E-01  7.15997E-01   5.3E-06
  1.000E+00  7.61524E-05  1.80759E-17  6.45501E-01  6.47185E-01   5.4E-06
  1.100E+00  9.21439E-05  1.23546E-17  4.41190E-01  4.42438E-01   4.1E-06
  1.200E+00  1.09658E-04  8.72883E-18  3.11712E-01  3.12673E-01   2.3E-06
  1.300E+00  1.28695E-04  6.34199E-18  2.26476E-01  2.27214E-01   5.4E-07
  1.400E+00  1.49255E-04  4.71815E-18  1.68488E-01  1.69078E-01   8.1E-07
  1.500E+00  1.71338E-04  3.58287E-18  1.27947E-01  1.28417E-01   1.5E-06
  1.600E+00  1.94942E-04  2.76960E-18  9.89040E-02  9.92878E-02   1.7E-06
  1.700E+00  2.20070E-04  2.17473E-18  7.76611E-02  7.79770E-02   1.4E-06
  1.800E+00  2.46720E-04  1.73150E-18  6.18329E-02  6.20952E-02   8.1E-07
  1.900E+00  2.74892E-04  1.39573E-18  4.98425E-02  5.00631E-02   1.8E-07
  2.000E+00  3.04586E-04  1.13765E-18  4.06264E-02  4.08127E-02   3.6E-07
  2.100E+00  3.35803E-04  9.36617E-19  3.34472E-02  3.36062E-02   6.8E-07
  2.200E+00  3.68542E-04  7.78149E-19  2.77882E-02  2.79246E-02   7.6E-07
  2.300E+00  4.02802E-04  6.51864E-19  2.32785E-02  2.33962E-02   6.4E-07
  2.400E+00  4.38585E-04  5.50222E-19  1.96488E-02  1.97510E-02   3.8E-07
  2.500E+00  4.75889E-04  4.67672E-19  1.67009E-02  1.67900E-02   7.6E-08
  2.600E+00  5.14715E-04  4.00060E-19  1.42864E-02  1.43646E-02   2.0E-07
  2.700E+00  5.55063E-04  3.44259E-19  1.22937E-02  1.23625E-02   3.7E-07
  2.800E+00  5.96931E-04  2.97871E-19  1.06372E-02  1.06980E-02   4.2E-07
  2.900E+00  6.40321E-04  2.59055E-19  9.25101E-03  9.30498E-03   3.5E-07
  3.000E+00  6.85233E-04  2.26372E-19  8.08389E-03  8.13193E-03   2.1E-07
  3.100E+00  7.31665E-04  1.98694E-19  7.09550E-03  7.13841E-03   3.8E-08
  3.200E+00  7.79618E-04  1.75130E-19  6.25399E-03  6.29241E-03   1.3E-07
  3.300E+00  8.29092E-04  1.54964E-19  5.53386E-03  5.56837E-03   2.3E-07
  3.400E+00  8.80086E-04  1.37626E-19  4.91471E-03  4.94578E-03   2.6E-07
  3.500E+00  9.32601E-04  1.22652E-19  4.37997E-03  4.40801E-03   2.2E-07
  3.600E+00  9.86636E-04  1.09665E-19  3.91619E-03  3.94157E-03   1.3E-07
  3.700E+00  1.04219E-03  9.83562E-20  3.51237E-03  3.53537E-03   2.1E-08
  3.800E+00  1.09927E-03  8.84723E-20  3.15940E-03  3.18030E-03   9.0E-08
  3.900E+00  1.15786E-03  7.98028E-20  2.84981E-03  2.86883E-03   1.5E-07
  4.000E+00  1.21797E-03  7.21725E-20  2.57733E-03  2.59467E-03   1.7E-07
  4.100E+00  1.27961E-03  6.54354E-20  2.33674E-03  2.35258E-03   1.4E-07
  4.200E+00  1.34276E-03  5.94688E-20  2.12367E-03  2.13816E-03   8.1E-08
  4.300E+00  1.40743E-03  5.41690E-20  1.93441E-03  1.94768E-03   1.4E-08
  4.400E+00  1.47362E-03  4.94485E-20  1.76584E-03  1.77802E-03   6.7E-08
  4.500E+00  1.54133E-03  4.52329E-20  1.61530E-03  1.62649E-03   1.1E-07
  4.600E+00  1.61056E-03  4.14586E-20  1.48051E-03  1.49081E-03   1.2E-07
  4.700E+00  1.68131E-03  3.80712E-20  1.35955E-03  1.36903E-03   9.9E-08
  4.800E+00  1.75357E-03  3.50241E-20  1.25073E-03  1.25947E-03   5.5E-08
  4.900E+00  1.82735E-03  3.22769E-20  1.15263E-03  1.16069E-03   1.1E-08
  5.000E+00  1.90265E-03  2.97948E-20  1.06399E-03  1.07144E-03   5.1E-08
  5.100E+00  1.97947E-03  2.75478E-20  9.83748E-04  9.90639E-04   8.1E-08
  5.200E+00  2.05780E-03  2.55094E-20  9.10957E-04  9.17335E-04   8.8E-08
  5.300E+00  2.13765E-03  2.36569E-20  8.44803E-04  8.50711E-04   7.2E-08
  5.400E+00  2.21902E-03  2.19702E-20  7.84571E-04  7.90049E-04   3.9E-08
  5.500E+00  2.30190E-03  2.04319E-20  7.29635E-04  7.34717E-04   1.0E-08
  5.600E+00  2.38630E-03  1.90264E-20  6.79445E-04  6.84163E-04   4.1E-08
  5.700E+00  2.47222E-03  1.77403E-20  6.33517E-04  6.37899E-04   6.2E-08
  5.800E+00  2.55965E-03  1.65615E-20  5.91421E-04  5.95495E-04   6.7E-08
  5.900E+00  2.64859E-03  1.54794E-20  5.52781E-04  5.56570E-04   5.4E-08
  6.000E+00  2.73905E-03  1.44848E-20  5.17260E-04  5.20786E-04   2.9E-08
  6.100E+00  2.83103E-03  1.35691E-20  4.84561E-04  4.87843E-04   9.3E-09
  6.200E+00  2.92452E-03  1.27250E-20  4.54418E-04  4.57475E-04   3.3E-08
  6.300E+00  3.01952E-03  1.19458E-20  4.26594E-04  4.29443E-04   4.9E-08
  6.400E+00  3.11604E-03  1.12257E-20  4.00878E-04  4.03534E-04   5.2E-08
  6.500E+00  3.21407E-03  1.05594E-20  3.77081E-04  3.79557E-04   4.1E-08
  6.600E+00  3.31362E-03  9.94196E-21  3.55034E-04  3.57343E-04   2.1E-08
  6.700E+00  3.41468E-03  9.36928E-21  3.34583E-04  3.36737E-04   8.6E-09
  6.800E+00  3.51725E-03  8.83746E-21  3.15592E-04  3.17601E-04   2.7E-08
  6.900E+00  3.62133E-03  8.34306E-21  2.97936E-04  2.99811E-04   4.0E-08
  7.000E+00  3.72692E-03  7.88295E-21  2.81505E-04  2.83255E-04   4.1E-08
  7.100E+00  3.83403E-03  7.45431E-21  2.66198E-04  2.67831E-04   3.3E-08
  7.200E+00  3.94265E-03  7.05458E-21  2.51924E-04  2.53447E-04   1.6E-08
